Date,T,T2,T3
2016-03-30,1.59,1.13,-0.316666667
2016-03-31,-0.5,1.59,0.476666667
2016-04-01,-0.99,-0.5,1.04
2016-04-04,0.2,-0.99,0.74
2016-04-05,-1.7,0.2,0.033333333
2016-04-06,0.8,-1.7,-0.43
2016-04-07,-0.98,0.8,-0.83
2016-04-08,1.48,-0.98,-0.233333333
2016-04-11,0.46,1.48,-0.626666667
2016-04-12,0.38,0.46,0.433333333
2016-04-13,1.12,0.38,0.32
2016-04-14,0.27,1.12,0.773333333
2016-04-15,-0.1,0.27,0.653333333
2016-04-18,0.62,-0.1,0.59
2016-04-19,1.78,0.62,0.43
2016-04-20,-0.2,1.78,0.263333333
2016-04-21,-0.44,-0.2,0.766666667
2016-04-22,-0.62,-0.44,0.733333333
2016-04-25,-0.18,-0.62,0.38
2016-04-26,0.5,-0.18,-0.42
2016-04-27,0.56,0.5,-0.413333333
2016-04-28,0.38,0.56,-0.1
2016-04-29,-0.92,0.38,0.293333333
2016-05-02,0.77,-0.92,0.48
2016-05-03,-1.76,0.77,0.006666667
2016-05-04,-1.06,-1.76,0.076666667
2016-05-05,-0.42,-1.06,-0.636666667
2016-05-06,-0.17,-0.42,-0.683333333
2016-05-09,0.24,-0.17,-1.08
2016-05-10,0.74,0.24,-0.55
2016-05-11,-0.01,0.74,-0.116666667
2016-05-12,-0.7,-0.01,0.27
2016-05-13,-0.26,-0.7,0.323333333
2016-05-16,0.22,-0.26,0.01
2016-05-17,-0.06,0.22,-0.323333333
2016-05-18,-0.01,-0.06,-0.246666667
2016-05-19,-1.07,-0.01,-0.033333333
2016-05-20,1.2,-1.07,0.05
2016-05-23,-0.17,1.2,-0.38
2016-05-24,1.38,-0.17,0.04
2016-05-25,1.13,1.38,-0.013333333
2016-05-26,0.56,1.13,0.803333333
2016-05-27,-0.44,0.56,0.78
2016-05-30,0.39,-0.44,1.023333333
2016-05-31,-0.8,0.39,0.416666667
2016-06-01,-0.25,-0.8,0.17
2016-06-02,-0.09,-0.25,-0.283333333
2016-06-03,0.96,-0.09,-0.22
2016-06-06,0.38,0.96,-0.38
2016-06-07,0.97,0.38,0.206666667
2016-06-08,-0.11,0.97,0.416666667
2016-06-09,-1.44,-0.11,0.77
2016-06-10,-2.84,-1.44,0.413333333
2016-06-13,-1.53,-2.84,-0.193333333
2016-06-14,-2.42,-1.53,-1.463333333
2016-06-15,1.25,-2.42,-1.936666667
2016-06-16,-0.94,1.25,-2.263333333
2016-06-17,1.8,-0.94,-0.9
2016-06-20,3.57,1.8,-0.703333333
2016-06-21,0.05,3.57,0.703333333
2016-06-22,0.71,0.05,1.476666667
2016-06-23,2.24,0.71,1.806666667
2016-06-24,-8.8,2.24,1.443333333
2016-06-27,-4.64,-8.8,1
2016-06-28,2.84,-4.64,-1.95
2016-06-29,3.02,2.84,-3.733333333
2016-06-30,0.96,3.02,-3.533333333
2016-07-01,1.16,0.96,0.406666667
2016-07-04,-0.52,1.16,2.273333333
