Date,Mkt,SMB,HML
2017-07-20,0.66,-0.04,0.1
2017-07-21,-0.71,0.47,-0.21
2017-07-24,-0.42,0.35,0.41
2017-07-25,0.41,-0.22,0.54
2017-07-26,1.03,-0.5,-0.11
2017-07-27,-0.38,0.2,0.01
2017-07-28,-0.13,0.38,0.22
2017-07-31,0.49,0.37,0.12
2017-08-01,0.33,-0.31,0.02
2017-08-02,0.09,0.28,0.2
2017-08-03,0.27,-0.3,-0.01
2017-08-04,-0.02,-0.32,-0.09
2017-08-07,0.18,0.11,0.14
2017-08-08,-0.15,0,0.09
2017-08-09,-0.67,0.29,-0.18
2017-08-10,-0.83,0.19,-0.04
2017-08-11,-0.47,-0.12,-0.18
